file_path,line_num,file_size
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/model/test.py,138,4455
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/model/base.py,139,5797
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/model/vit.py,343,16707
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/model/vit_new.py,341,15609
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/model/clip.py,316,14598
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/model/vilt.py,359,15983
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/model/bert.py,359,15967
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/model/__init__.py,4,98
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/model/cnn.py,147,6260
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/algs/fm_lora.py,146,6086
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/algs/md_pretraining_index_v2_train_index_and_md.py,529,24650
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/algs/md_pretraining_wo_fbs.py,381,17388
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/algs/md_pretraining_index_bk_too_slow.py,427,19855
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/algs/md_pretraining_index_v1_train_index_and_md.py,501,23379
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/algs/md_pretraining_wo_fbs_clip_debug.py,412,19146
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/algs/md_pretraining_bk.py,292,13039
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/algs/md_pretraining_index.py,322,15329
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/algs/md_pretraining_v1.py,316,14640
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/algs/md_pretraining_w_fbs.py,192,8653
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/online_model_v2.py,269,11807
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/model.py,821,29849
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/api/online_model.py,246,10834
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/pipeline/offline/fm_lora/base.py,36,932
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/pipeline/offline/fm_lora/vit.py,79,2484
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/pipeline/offline/fm_lora/clip.py,86,2780
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/pipeline/offline/fm_lora/vilt.py,91,2768
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/pipeline/offline/fm_lora/bert.py,81,2422
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/pipeline/offline/fm_to_md/test.py,28,1180
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/pipeline/offline/fm_to_md/base.py,48,2308
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/pipeline/offline/fm_to_md/vit.py,130,6544
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/pipeline/offline/fm_to_md/clip.py,672,30837
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/pipeline/offline/fm_to_md/vilt.py,216,9424
/data/zql/concept-drift-in-edge-projects/UniversalElasticNet/methods/elasticdnn/pipeline/offline/fm_to_md/bert.py,279,13316
